type,date,value,unit,position
MUSCLE_PERCENT,"2026-01-19 09:57:07",63,
BONE_PERCENT,"2026-01-19 09:57:07",3,
WATER_PERCENT,"2026-01-19 09:57:07",44,
"Electrodermal activity feet","2026-01-14 12:43:26",75,
"Max Nerve Response Score (NRS) feet","2026-01-14 12:43:26",75,
FAT_FREE_MASS,"2026-01-14 12:43:26",45,
"Visceral Fat","2026-01-14 12:43:26",2.1,
"Impedence 50kHz for segments","2026-01-14 12:43:26",662.0,,"Between Legs"
"Impedence 250kHz for segments","2026-01-14 12:43:26",596.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-01-14 12:43:26",757.0,,"Between Legs"
"Phase  6.25kHz segment","2026-01-14 12:43:26",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-01-14 12:43:26",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-01-14 12:43:26",-0.1,,"Between Legs"
"BIA Error","2026-01-14 12:43:26",0,
"Basal Metabolic Rate (BMR)","2026-01-14 12:43:26","1,366",
"Metabolic Age","2026-01-14 12:43:26",29,
FAT_PERCENT,"2026-01-14 12:43:26",34,
"Fat Free Percent","2026-01-14 12:43:26",66,
MUSCLE_PERCENT,"2026-01-14 12:43:26",62,
BONE_PERCENT,"2026-01-14 12:43:26",3,
WATER_PERCENT,"2026-01-14 12:43:26",44,
"Electrodermal activity feet","2025-12-26 11:42:01",22,
"Max Nerve Response Score (NRS) feet","2025-12-26 11:42:01",22,
FAT_FREE_MASS,"2025-12-26 11:42:01",45,
"Visceral Fat","2025-12-26 11:42:01",2.1,
"Impedence 50kHz for segments","2025-12-26 11:42:01",674.0,,"Between Legs"
"Impedence 250kHz for segments","2025-12-26 11:42:01",592.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-12-26 11:42:01",791.0,,"Between Legs"
"Phase  6.25kHz segment","2025-12-26 11:42:01",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-12-26 11:42:01",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-12-26 11:42:01",-0.1,,"Between Legs"
"BIA Error","2025-12-26 11:42:01",0,
"Basal Metabolic Rate (BMR)","2025-12-26 11:42:01","1,364",
"Metabolic Age","2025-12-26 11:42:01",28,
FAT_PERCENT,"2025-12-26 11:42:01",34,
"Fat Free Percent","2025-12-26 11:42:01",66,
MUSCLE_PERCENT,"2025-12-26 11:42:01",63,
BONE_PERCENT,"2025-12-26 11:42:01",3,
WATER_PERCENT,"2025-12-26 11:42:01",44,
FAT_FREE_MASS,"2025-12-22 11:11:06",45,
"Visceral Fat","2025-12-22 11:11:06",2.1,
"Impedence 50kHz for segments","2025-12-22 11:11:06",659.0,,"Between Legs"
"Impedence 250kHz for segments","2025-12-22 11:11:06",595.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-12-22 11:11:06",784.0,,"Between Legs"
"Phase  6.25kHz segment","2025-12-22 11:11:06",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-12-22 11:11:06",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-12-22 11:11:06",-0.1,,"Between Legs"
"BIA Error","2025-12-22 11:11:06",0,
"Basal Metabolic Rate (BMR)","2025-12-22 11:11:06","1,374",
"Metabolic Age","2025-12-22 11:11:06",28,
FAT_PERCENT,"2025-12-22 11:11:06",34,
"Fat Free Percent","2025-12-22 11:11:06",66,
MUSCLE_PERCENT,"2025-12-22 11:11:06",63,
BONE_PERCENT,"2025-12-22 11:11:06",3,
WATER_PERCENT,"2025-12-22 11:11:06",44,
"PWV Reached count","2025-12-12 11:57:23","1,283",
"VA Reached count","2025-12-12 11:57:23","1,283",
FAT_FREE_MASS,"2025-12-12 11:57:23",45,
"Visceral Fat","2025-12-12 11:57:23",2.1,
"Impedence 50kHz for segments","2025-12-12 11:57:23",678.0,,"Between Legs"
"Impedence 250kHz for segments","2025-12-12 11:57:23",605.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-12-12 11:57:23",796.0,,"Between Legs"
"Phase  6.25kHz segment","2025-12-12 11:57:23",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-12-12 11:57:23",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-12-12 11:57:23",-0.1,,"Between Legs"
"BIA Error","2025-12-12 11:57:23",0,
"Basal Metabolic Rate (BMR)","2025-12-12 11:57:23","1,365",
"Metabolic Age","2025-12-12 11:57:23",28,
FAT_PERCENT,"2025-12-12 11:57:23",34,
"Fat Free Percent","2025-12-12 11:57:23",66,
MUSCLE_PERCENT,"2025-12-12 11:57:23",63,
BONE_PERCENT,"2025-12-12 11:57:23",3,
WATER_PERCENT,"2025-12-12 11:57:23",44,
FAT_FREE_MASS,"2025-12-02 11:00:26",45,
"Visceral Fat","2025-12-02 11:00:26",2.1,
"Impedence 50kHz for segments","2025-12-02 11:00:26",703.0,,"Between Legs"
"Impedence 250kHz for segments","2025-12-02 11:00:26",628.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-12-02 11:00:26",828.0,,"Between Legs"
"Phase  6.25kHz segment","2025-12-02 11:00:26",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-12-02 11:00:26",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-12-02 11:00:26",-0.1,,"Between Legs"
"BIA Error","2025-12-02 11:00:26",0,
"Basal Metabolic Rate (BMR)","2025-12-02 11:00:26","1,364",
"Metabolic Age","2025-12-02 11:00:26",29,
FAT_PERCENT,"2025-12-02 11:00:26",35,
"Fat Free Percent","2025-12-02 11:00:26",65,
MUSCLE_PERCENT,"2025-12-02 11:00:26",62,
BONE_PERCENT,"2025-12-02 11:00:26",3,
WATER_PERCENT,"2025-12-02 11:00:26",43,
"PWV Reached count","2025-11-27 12:25:20","1,283",
"VA Reached count","2025-11-27 12:25:20","1,283",
FAT_FREE_MASS,"2025-11-27 12:25:20",45,
"Visceral Fat","2025-11-27 12:25:20",2.2,
"Impedence 50kHz for segments","2025-11-27 12:25:20",705.0,,"Between Legs"
"Impedence 250kHz for segments","2025-11-27 12:25:20",633.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-11-27 12:25:20",819.0,,"Between Legs"
"Phase  6.25kHz segment","2025-11-27 12:25:20",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-11-27 12:25:20",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-11-27 12:25:20",-0.1,,"Between Legs"
"BIA Error","2025-11-27 12:25:20",0,
"Basal Metabolic Rate (BMR)","2025-11-27 12:25:20","1,361",
"Metabolic Age","2025-11-27 12:25:20",29,
FAT_PERCENT,"2025-11-27 12:25:20",35,
"Fat Free Percent","2025-11-27 12:25:20",65,
MUSCLE_PERCENT,"2025-11-27 12:25:20",62,
BONE_PERCENT,"2025-11-27 12:25:20",3,
